arrival_time,departure_time,stop_id,stop_name
07:45:00,07:45:00,20002144,Lakes Boulevard Shops
07:46:56,07:46:56,20002370,Lakes Blvd - Bracken Mews
07:51:18,07:51:18,20002283,Lakeview Quay - Furl Close
07:53:07,07:53:07,20002369,Landing Drive - Ngakumama Reserve
07:54:41,07:54:41,20001760,Lakes Boulevard - Opposite Caldera Crescent
08:05:00,08:05:00,20002384,Tauriko School
08:09:11,08:09:11,20001915,Cambridge Road - River Oaks Drive
08:11:26,08:11:26,20002334,Cambridge Road- Miles Lane
08:12:35,08:12:35,20001606,Cambridge Road - Kelston Way
08:14:55,08:14:55,20002385,Wallace Place
08:05:00,08:05:00,20002384,Tauriko School
